# integrator: Langevin BAOAB
# timestep_fs: 1.0
# seed: 0
# n_atoms: 22
# dof: 63
# temperature_dof_convention: 3N - 3 (centre of mass pinned)
# calculator: MACE(model='MACE-OFF23_small', cueq=False, energy_reference='atoms', dtype='float32')
# dtype: float32
# energy_offset_eV: -13406.88400353325
# pbc: [False, False, False]
# neighborlist_capacity: 384
# device: gpu
# ensemble: NVT
# temperature_K: 300.0
# friction_per_fs: 0.01
# fix_com: True
# step	time_fs	T_K	E_pot_eV	E_kin_eV	E_tot_eV	dE_tot_eV
60500	60500.000	271.579	-94.69063838	0.73719054	-93.95344783	5.380e-01
61000	61000.000	263.571	-94.36574162	0.71545148	-93.65029014	8.412e-01
61500	61500.000	284.331	-94.52845091	0.77180535	-93.75664557	7.348e-01
62000	62000.000	272.724	-94.49751551	0.74029922	-93.75721628	7.342e-01
62500	62500.000	264.835	-94.50555700	0.71888363	-93.78667336	7.048e-01
63000	63000.000	247.719	-94.36134093	0.67242229	-93.68891864	8.025e-01
63500	63500.000	281.340	-94.56681074	0.76368690	-93.80312385	6.883e-01
64000	64000.000	313.461	-94.59017638	0.85087633	-93.73930005	7.522e-01
64500	64500.000	353.023	-94.67857296	0.95826513	-93.72030784	7.711e-01
65000	65000.000	313.499	-94.65469529	0.85097909	-93.80371620	6.877e-01
65500	65500.000	314.476	-94.57682095	0.85363209	-93.72318885	7.683e-01
66000	66000.000	385.775	-94.68653260	1.04717052	-93.63936209	8.521e-01
66500	66500.000	323.193	-94.38060457	0.87729335	-93.50331122	9.881e-01
67000	67000.000	348.609	-94.29830538	0.94628620	-93.35201918	1.139e+00
67500	67500.000	189.567	-94.49638174	0.51457191	-93.98180984	5.096e-01
68000	68000.000	316.900	-94.63207965	0.86021256	-93.77186709	7.196e-01
68500	68500.000	188.594	-94.22989015	0.51193035	-93.71795980	7.735e-01
69000	69000.000	272.240	-94.48806615	0.73898536	-93.74908079	7.424e-01
69500	69500.000	275.759	-94.50196119	0.74853539	-93.75342579	7.380e-01
70000	70000.000	263.353	-94.37080028	0.71486187	-93.65593841	8.355e-01
70500	70500.000	175.359	-94.64687285	0.47600436	-94.17086849	3.206e-01
71000	71000.000	352.358	-94.45107551	0.95646161	-93.49461390	9.968e-01
71500	71500.000	228.374	-94.48740170	0.61991233	-93.86748938	6.240e-01
72000	72000.000	288.138	-94.56397179	0.78213751	-93.78183428	7.096e-01
72500	72500.000	335.099	-94.64472222	0.90961188	-93.73511034	7.563e-01
73000	73000.000	304.970	-94.71019973	0.82782763	-93.88237210	6.091e-01
